name_custom,name_un,name_forbes,name_ted
afghanistan,afghanistan,NA,NA
albania,albania,NA,albania
algeria,algeria,NA,algeria
american samoa,american samoa,NA,NA
andorra,andorra,NA,NA
angola,angola,NA,angola
anguilla,anguilla,NA,NA
antigua and barbuda,antigua and barbuda,NA,NA
argentina,argentina,argentina,argentina
armenia,armenia,NA,armenia
aruba,aruba,NA,NA
australia,australia,australia,australia
austria,austria,austria,austria
azerbaijan,azerbaijan,NA,azerbaijan
bahamas,bahamas,NA,NA
bahrain,bahrain,bahrain,bahrain
bangladesh,bangladesh,NA,bangladesh
barbados,barbados,NA,barbados
belarus,belarus,NA,belarus
belgium,belgium,belgium,belgium
belize,belize,NA,NA
benin,benin,NA,NA
bermuda,bermuda,bermuda,NA
bhutan,bhutan,NA,NA
bolivia (plurinational state of),bolivia (plurinational state of),NA,bolivia
bosnia and herzegovina,bosnia and herzegovina,NA,bosnia & herzegovina
botswana,botswana,NA,NA
brazil,brazil,brazil,brazil
british virgin islands,british virgin islands,NA,NA
brunei darussalam,brunei darussalam,NA,NA
bulgaria,bulgaria,NA,bulgaria
burkina faso,burkina faso,NA,burkina faso
burundi,burundi,NA,NA
cabo verde,cabo verde,NA,NA
cambodia,cambodia,NA,cambodia
cameroon,cameroon,NA,cameroon
canada,canada,canada,canada
caribbean netherlands,caribbean netherlands,NA,NA
cayman islands,cayman islands,NA,NA
central african republic,central african republic,NA,NA
chad,chad,NA,NA
channel islands,channel islands,NA,NA
chile,chile,chile,chile
china,china,china,china (alternative)
"china, hong kong sar","china, hong kong sar",hong kong,hong kong
"china, macao sar","china, macao sar",NA,NA
"china, taiwan province of china","china, taiwan province of china",taiwan,taiwan
colombia,colombia,colombia,colombia
comoros,comoros,NA,NA
congo,congo,NA,NA
cook islands,cook islands,NA,NA
costa rica,costa rica,NA,costa rica
c√¥te d'ivoire,c√¥te d'ivoire,NA,cÙte d'ivoire
croatia,croatia,NA,croatia
cuba,cuba,NA,NA
cura√ßao,cura√ßao,NA,NA
cyprus,cyprus,cyprus,cyprus
czechia,czechia,czech republic,czech republic
dem. people's republic of korea,dem. people's republic of korea,NA,NA
democratic republic of the congo,democratic republic of the congo,NA,dr congo
denmark,denmark,denmark,denmark
djibouti,djibouti,NA,NA
dominica,dominica,NA,NA
dominican republic,dominican republic,NA,dominican republic
ecuador,ecuador,NA,ecuador
egypt,egypt,NA,egypt
el salvador,el salvador,NA,NA
equatorial guinea,equatorial guinea,NA,NA
eritrea,eritrea,NA,NA
estonia,estonia,NA,estonia
ethiopia,ethiopia,NA,ethiopia
faeroe islands,faeroe islands,NA,NA
falkland islands (malvinas),falkland islands (malvinas),NA,NA
fiji,fiji,NA,NA
finland,finland,finland,finland
france,france,france,france
french guiana,french guiana,NA,NA
french polynesia,french polynesia,NA,NA
gabon,gabon,NA,NA
gambia,gambia,NA,NA
georgia,georgia,NA,georgia
germany,germany,germany,germany
ghana,ghana,NA,ghana
gibraltar,gibraltar,NA,NA
greece,greece,greece,greece
greenland,greenland,NA,NA
grenada,grenada,NA,NA
guadeloupe,guadeloupe,NA,NA
guam,guam,NA,NA
guatemala,guatemala,NA,guatemala
guinea,guinea,NA,NA
guinea-bissau,guinea-bissau,NA,NA
guyana,guyana,NA,NA
haiti,haiti,NA,NA
holy see,holy see,NA,NA
honduras,honduras,NA,NA
hungary,hungary,hungary,hungary
iceland,iceland,NA,iceland
india,india,india,india
indonesia,indonesia,indonesia,indonesia
iran (islamic republic of),iran (islamic republic of),NA,iran
iraq,iraq,NA,iraq
ireland,ireland,ireland,ireland
isle of man,isle of man,NA,NA
israel,israel,israel,israel
italy,italy,italy,italy
jamaica,jamaica,NA,jamaica
japan,japan,japan,japan
jordan,jordan,jordan,jordan
kazakhstan,kazakhstan,kazakhstan,kazakhstan
kenya,kenya,kenya,kenya
kiribati,kiribati,NA,NA
kuwait,kuwait,kuwait,kuwait
kyrgyzstan,kyrgyzstan,NA,kyrgyz republic
lao people's democratic republic,lao people's democratic republic,NA,NA
latvia,latvia,NA,latvia
lebanon,lebanon,lebanon,NA
lesotho,lesotho,NA,NA
liberia,liberia,NA,NA
libya,libya,NA,NA
liechtenstein,liechtenstein,NA,NA
lithuania,lithuania,NA,lithuania
luxembourg,luxembourg,luxembourg,luxembourg
madagascar,madagascar,NA,madagascar
malawi,malawi,NA,malawi
malaysia,malaysia,malaysia,malaysia
maldives,maldives,NA,NA
mali,mali,NA,mali
malta,malta,NA,malta
marshall islands,marshall islands,NA,NA
martinique,martinique,NA,NA
mauritania,mauritania,NA,NA
mauritius,mauritius,NA,NA
mayotte,mayotte,NA,NA
mexico,mexico,mexico,mexico
micronesia,micronesia,NA,NA
micronesia (fed. states of),micronesia (fed. states of),NA,NA
monaco,monaco,monaco,NA
mongolia,mongolia,NA,NA
montenegro,montenegro,NA,NA
montserrat,montserrat,NA,NA
morocco,morocco,morocco,morocco
mozambique,mozambique,NA,mozambique
myanmar,myanmar,NA,myanmar
namibia,namibia,NA,NA
nauru,nauru,NA,NA
nepal,nepal,NA,NA
netherlands,netherlands,netherlands,netherlands
new caledonia,new caledonia,NA,NA
new zealand,new zealand,NA,new zealand
nicaragua,nicaragua,NA,NA
niger,niger,NA,niger
nigeria,nigeria,nigeria,nigeria
niue,niue,NA,NA
northern mariana islands,northern mariana islands,NA,NA
norway,norway,norway,norway
oman,oman,oman,oman
pakistan,pakistan,NA,pakistan
palau,palau,NA,NA
panama,panama,NA,NA
papua new guinea,papua new guinea,NA,NA
paraguay,paraguay,NA,NA
peru,peru,peru,peru
philippines,philippines,philippines,philippines
poland,poland,poland,poland
portugal,portugal,portugal,portugal
puerto rico,puerto rico,puerto rico,NA
qatar,qatar,qatar,qatar
republic of korea,republic of korea,south korea,south korea
republic of moldova,republic of moldova,NA,moldova
romania,romania,NA,romania
russian federation,russian federation,russia,russian federation
rwanda,rwanda,NA,NA
saint helena,saint helena,NA,NA
saint kitts and nevis,saint kitts and nevis,NA,NA
saint lucia,saint lucia,NA,st. lucia
saint pierre and miquelon,saint pierre and miquelon,NA,NA
saint vincent and the grenadines,saint vincent and the grenadines,NA,NA
samoa,samoa,NA,NA
san marino,san marino,NA,NA
sao tome and principe,sao tome and principe,NA,NA
saudi arabia,saudi arabia,saudi arabia,saudi arabia
senegal,senegal,NA,senegal
serbia,serbia,NA,serbia & montenegro
seychelles,seychelles,NA,NA
sierra leone,sierra leone,NA,NA
singapore,singapore,singapore,singapore
sint maarten (dutch part),sint maarten (dutch part),NA,NA
slovakia,slovakia,NA,slovak republic
slovenia,slovenia,NA,slovenia
solomon islands,solomon islands,NA,NA
somalia,somalia,NA,NA
south africa,south africa,south africa,south africa
south sudan,south sudan,NA,NA
spain,spain,spain,spain
sri lanka,sri lanka,NA,sri lanka
state of palestine,state of palestine,NA,NA
sudan,sudan,NA,sudan
suriname,suriname,NA,NA
swaziland,swaziland,NA,NA
sweden,sweden,sweden,sweden
switzerland,switzerland,switzerland,switzerland
syrian arab republic,syrian arab republic,NA,syria
tajikistan,tajikistan,NA,tajikistan
tfyr macedonia,tfyr macedonia,NA,macedonia
thailand,thailand,thailand,thailand
timor-leste,timor-leste,NA,NA
togo,togo,NA,NA
tokelau,tokelau,NA,NA
tonga,tonga,NA,NA
trinidad and tobago,trinidad and tobago,NA,trinidad & tobago
tunisia,tunisia,NA,tunisia
turkey,turkey,turkey,turkey
turkmenistan,turkmenistan,NA,turkmenistan
turks and caicos islands,turks and caicos islands,NA,NA
tuvalu,tuvalu,NA,NA
uganda,uganda,NA,uganda
ukraine,ukraine,NA,ukraine
united arab emirates,united arab emirates,united arab emirates,united arab emirates
united kingdom,united kingdom,united kingdom,united kingdom
united republic of tanzania,united republic of tanzania,NA,tanzania
united states of america,united states of america,united states,united states
united states virgin islands,united states virgin islands,NA,NA
uruguay,uruguay,NA,uruguay
uzbekistan,uzbekistan,NA,uzbekistan
vanuatu,vanuatu,NA,NA
venezuela (bolivarian republic of),venezuela (bolivarian republic of),venezuela,venezuela
viet nam,viet nam,vietnam,vietnam
wallis and futuna islands,wallis and futuna islands,NA,NA
western sahara,western sahara,NA,NA
yemen,yemen,NA,yemen
zambia,zambia,NA,zambia
zimbabwe,zimbabwe,NA,zimbabwe
